City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
237,sarankhola,22.3082,89.7897,73.49,86,0,5.91,BD,2023-04-03 21:15:11
238,visby,57.6409,18.296,26.82,93,8,0.0,SE,2023-04-03 21:15:11
239,grindavik,63.8424,-22.4338,48.15,100,100,31.07,IS,2023-04-03 21:15:12
240,raga,8.4596,25.678,80.85,16,58,2.48,SS,2023-04-03 21:15:12
241,aluksne,57.4167,27.05,27.91,85,98,8.52,LV,2023-04-03 21:15:12
242,chiang rai,19.9167,99.9167,76.57,56,0,0.56,TH,2023-04-03 21:15:13
243,siparia,10.1333,-61.5,86.83,52,83,10.6,TT,2023-04-03 21:15:13
244,prince rupert,54.3161,-130.3201,39.29,81,100,5.75,CA,2023-04-03 21:13:08
245,dingzhou,38.5131,114.9956,52.21,48,100,13.8,CN,2023-04-03 21:15:13
246,bilibino,68.0546,166.4372,-6.2,88,75,2.24,RU,2023-04-03 21:15:13
247,tommot,58.9564,126.2925,16.56,94,100,9.24,RU,2023-04-03 21:15:14
248,verdun,49.25,5.3333,38.16,63,2,12.62,FR,2023-04-03 21:15:14
249,tagbac,7.089,125.1567,69.89,95,54,1.41,PH,2023-04-03 21:15:14
250,baruun-urt,46.6806,113.2792,18.72,42,75,4.41,MN,2023-04-03 21:15:14
251,honiara,-9.4333,159.95,82.38,79,98,12.55,SB,2023-04-03 21:15:14
252,katangli,51.7102,143.2326,30.97,95,100,4.5,RU,2023-04-03 21:15:14
253,del rio,29.3627,-100.8968,96.91,14,0,3.44,US,2023-04-03 21:13:08
254,quelimane,-17.8786,36.8883,71.08,85,9,3.6,MZ,2023-04-03 21:15:15
255,atbasar,51.8,68.3333,29.84,80,4,8.23,KZ,2023-04-03 21:15:15
256,talnakh,69.4865,88.3972,-25.8,99,66,5.3,RU,2023-04-03 21:15:15
257,chapais,49.7834,-74.8492,31.42,97,100,4.41,CA,2023-04-03 21:15:15
258,saint-joseph,-21.3667,55.6167,73.78,85,100,3.83,RE,2023-04-03 21:15:16
259,ketchikan,55.3422,-131.6461,43.27,61,40,10.36,US,2023-04-03 21:15:16
260,vieques,18.425,-65.8329,84.85,61,20,17.27,PR,2023-04-03 21:15:16
261,abdulino,53.7,53.6667,40.84,73,20,7.87,RU,2023-04-03 21:15:16
262,ishikari,43.2397,141.3539,37.26,59,65,10.71,JP,2023-04-03 21:15:17
263,mao,39.8885,4.2658,50.56,81,0,4.61,ES,2023-04-03 21:15:17
264,yurimaguas,-5.9,-76.0833,75.36,94,40,5.75,PE,2023-04-03 21:15:17
265,gazli,40.1333,63.45,53.13,61,8,8.68,UZ,2023-04-03 21:15:17
266,comodoro rivadavia,-45.8667,-67.5,69.66,28,0,11.5,AR,2023-04-03 21:15:18
267,katima mulilo,-17.5,24.2667,69.93,65,69,4.25,NA,2023-04-03 21:15:18
268,high level,58.5169,-117.136,30.31,64,40,3.44,CA,2023-04-03 21:15:07
269,lorengau,-2.0226,147.2712,79.83,80,100,3.11,PG,2023-04-03 21:15:18
270,kargil,34.5667,76.1,20.91,90,82,5.55,IN,2023-04-03 21:15:18
271,berestechko,50.3605,25.1107,30.99,88,100,9.06,UA,2023-04-03 21:15:18
272,tuy hoa,13.0833,109.3,73.87,95,84,3.67,VN,2023-04-03 21:15:19
273,tahta,26.7693,31.5021,69.75,11,9,1.45,EG,2023-04-03 21:15:19
274,ust-maya,60.4167,134.5333,21.6,95,100,8.16,RU,2023-04-03 21:15:19
275,rovnoye,50.7765,46.0509,49.93,56,100,2.73,RU,2023-04-03 21:15:20
276,kutum,14.2,24.6667,76.08,13,6,6.24,SD,2023-04-03 21:15:20
277,sibu,2.3,111.8167,73.38,96,100,2.39,MY,2023-04-03 21:15:20
278,noumea,-22.2763,166.4572,81.0,99,29,6.91,NC,2023-04-03 21:15:20
279,roma,43.2128,-75.4557,62.74,31,100,13.8,US,2023-04-03 21:12:03
280,alofi,-19.0595,-169.9187,80.49,83,75,10.36,NU,2023-04-03 21:15:21
281,porbandar,21.6422,69.6093,76.51,78,0,9.26,IN,2023-04-03 21:15:21
282,yuncheng,35.0231,110.9928,46.92,89,100,9.62,CN,2023-04-03 21:15:21
283,kalmunai,7.4167,81.8167,77.92,84,0,5.68,LK,2023-04-03 21:15:21
284,tiarei,-17.5333,-149.3333,87.82,71,31,6.02,PF,2023-04-03 21:15:22
285,vila velha,-20.3297,-40.2925,78.75,66,0,6.91,BR,2023-04-03 21:13:23
286,beringovskiy,63.05,179.3167,6.49,92,99,12.64,RU,2023-04-03 21:15:22
287,valleyview,55.0667,-117.2859,37.22,61,40,3.06,CA,2023-04-03 21:15:09
288,bac ninh,21.1833,106.05,77.09,84,90,7.14,VN,2023-04-03 21:15:22
289,hanzhong,33.0728,107.0303,44.47,87,71,2.08,CN,2023-04-03 21:15:22
